,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_SEMANA_x,Tiempo_Supervivencia,ID,HORA,HH,DIA_SEMANA_y,TIPO_DE_CALLE,pos x,pos y,coordenada_x,coordenada_y,ACUSADO
63,2016-0085,2016-06-29,2016,6,29.0,,MOTO,MASCULINO,,,Miércoles,,2016-0085,22:00:00,22.0,2.0,AVENIDA,-58.42378834,-34.657341,103621.9225276,96885.28433165,OTRO
64,2016-0086,2016-06-30,2016,6,30.0,PEATON,PEATON,MASCULINO,75.0,2016-07-01,Jueves,1 days,2016-0086,16:10:00,16.0,3.0,AVENIDA,-58.48727942,-34.63652467,97801.31825511,99194.93911759,PASAJEROS
65,2016-0087,2016-07-03,2016,7,3.0,CONDUCTOR,MOTO,MASCULINO,23.0,2016-07-03,Domingo,0 days,2016-0087,0:10:00,0.0,5.0,AUTOPISTA,-58.37864583,-34.62907067,107762.62066736,100018.90176187,OBJETO FIJO
66,2016-0088,2016-07-11,2016,7,11.0,PEATON,PEATON,FEMENINO,70.0,2016-07-14,Lunes,3 days,2016-0088,15:30:00,15.0,0.0,CALLE,-58.5015175,-34.56767549,96492.89040317,106832.1947566,AUTO
67,2016-0089,2016-07-14,2016,7,14.0,PEATON,PEATON,MASCULINO,35.0,2016-07-14,Jueves,0 days,2016-0089,6:40:00,6.0,3.0,AUTOPISTA,-58.43233425,-34.55185825,102842.06561704,108587.10659007,AUTO
68,2016-0090,2016-07-14,2016,7,14.0,PEATON,PEATON,MASCULINO,60.0,2016-07-15,Jueves,1 days,2016-0090,22:00:00,22.0,3.0,AVENIDA,-58.41971993,-34.6111224,103997.04813615,102012.3413915,PASAJEROS
69,2016-0092,2016-07-15,2016,7,15.0,CONDUCTOR,MOTO,MASCULINO,24.0,2016-07-15,Viernes,0 days,2016-0092,11:00:00,11.0,4.0,GRAL PAZ,-58.46743471,-34.53476874,99620.34936816,110483.29286598,CARGAS
70,2016-0093,2016-07-17,2016,7,17.0,CONDUCTOR,AUTO,MASCULINO,35.0,2016-07-19,Domingo,2 days,2016-0093,3:30:00,3.0,6.0,AVENIDA,-58.44362126,-34.62301748,101804.61714036,100693.45218194,AUTO
71,2016-0095,2016-07-23,2016,7,23.0,CONDUCTOR,MOTO,MASCULINO,29.0,2016-07-23,Sábado,0 days,2016-0095,6:12:00,6.0,5.0,AVENIDA,-58.51713095,-34.59546519,95061.77375682,103748.74085597,AUTO
72,2016-0096,2016-07-25,2016,7,25.0,CONDUCTOR,MOTO,MASCULINO,,,Lunes,,,,,,,,,,,
73,2016-0097,2016-07-26,2016,7,26.0,PEATON,PEATON,MASCULINO,80.0,2016-08-12,Martes,17 days,2016-0097,18:45:00,18.0,1.0,CALLE,-58.39038605,-34.6156281,106687.1330182,101510.97040757,AUTO
74,2016-0098,2016-07-27,2016,7,27.0,CONDUCTOR,MOTO,FEMENINO,43.0,,Miércoles,,2016-0098,16:08:00,16.0,2.0,AVENIDA,-58.40042405,-34.62356174,105765.97394356,100631.47718024,CARGAS
75,2016-0099,2016-07-29,2016,7,29.0,CONDUCTOR,CARGAS,MASCULINO,45.0,,Viernes,,2016-0099,16:00:00,16.0,4.0,GRAL PAZ,-58.52340614,-34.59798754,94486.28631712,103468.59928582,CARGAS
